date,item,unit_price,tax,transaction_amount,transaction_mode,transaction_currency
2024-04-26 02:28:52,our,63.43,6.69,280.48,cash,USD
2024-03-30 15:36:16,effort,18.27,1.62,119.34,cash,USD
2023-12-20 03:31:11,why,3.37,0.39,3.76,UPI,INR
2024-04-03 15:21:54,card,23.76,2.7,238.14,cash,USD
2024-01-09 00:56:01,fact,37.48,2.7,160.72,debit card,INR
2023-09-23 13:31:18,charge,31.3,1.74,33.04,cash,USD
2023-07-26 19:44:49,show,9.72,1.27,87.92,,INR
2023-09-11 14:42:43,control,66.1,6.94,3799.6756796685,cash,INR
2023-06-25 07:27:39,here,14.26,2.12,65.52,UPI,USD
2024-02-08 15:11:54,seem,72.36,9.24,81.6,cash,USD
2024-02-17 17:25:29,give,12.28,0.77,130.5,UPI,USD
2024-01-22 13:28:37,prove,57.61,4.87,499.84,UPI,USD
2024-01-01 06:36:22,energy,9.56,0.8,51.8,UPI,INR
2023-07-14 17:43:42,father,70.6,8.86,238.38,credit card,USD
2023-08-11 16:55:42,bed,86.56,10.1,193.32,UPI,USD
2024-04-10 18:27:06,address,59.8,4.95,129.5,cash,INR
2023-08-01 03:34:47,down,65.32,3.5,275.28,credit card,USD
2023-06-28 13:19:36,prevent,8.78,0.79,47.85,UPI,INR
2023-11-17 00:40:43,poor,12.44,0.78,105.76,cash,INR
2023-08-29 16:59:47,purpose,66.4,5.94,289.36,credit card,USD
2023-12-27 04:01:43,sure,82.71,5.86,354.28,credit card,INR
2024-02-05 15:10:04,learn,98.47,5.01,206.96,UPI,INR
2024-04-24 21:46:25,rather,46.13,6.42,420.4,credit card,USD
2023-11-15 19:00:31,his,80.48,7.77,264.75,debit card,INR
2023-10-26 15:36:51,machine,48.82,3.05,103.74,UPI,USD
2024-01-26 11:14:56,work,54.04,5.9,179.82,UPI,USD
2023-09-27 09:06:49,ground,25.53,3.05,142.9,credit card,INR
2023-10-19 09:53:58,open,75.63,10.87,173.0,debit card,INR
2023-07-22 23:51:13,kind,88.89,6.64,191.06,debit card,INR
2023-05-18 13:39:09,agreement,63.92,7.26,640.62,cash,USD
2023-09-19 12:43:14,star,55.06,8.18,189.72,credit card,USD
2024-04-17 14:02:15,use,44.37,5.68,100.1,credit card,USD
2023-09-19 05:49:17,season,13.24,1.56,133.2,UPI,USD
2024-01-25 06:30:47,fall,21.9,2.1,240.0,UPI,INR
2023-08-05 17:52:28,difference,18.85,2.65,107.5,credit card,USD
2024-01-08 16:33:21,begin,69.41,8.85,782.6,credit card,INR
2024-04-26 23:23:31,sea,69.1,9.45,471.3,credit card,INR
2024-03-13 09:38:18,moment,71.7,8.25,719.55,credit card,INR
2023-11-07 18:51:16,whose,26.25,3.03,175.68,credit card,INR
2023-07-16 21:53:34,man,69.93,5.4,6745.38952635129,credit card,USD
2023-08-11 11:25:08,big,94.42,5.2,597.72,cash,USD
2023-08-24 20:04:21,well,21.8,2.53,121.65,credit card,INR
2023-12-03 07:13:49,usually,35.24,3.76,234.0,debit card,USD
2023-06-17 19:49:03,similar,32.53,4.25,183.9,UPI,INR
2024-05-09 05:58:05,station,71.22,8.04,554.82,debit card,INR
2024-03-11 03:10:24,sell,83.17,4.69,615.02,debit card,USD
2023-12-07 22:09:38,fall,6.56,0.63,50.33,credit card,USD
2023-06-06 04:25:08,stay,68.57,6.21,448.68,credit card,INR
2023-05-18 05:29:16,actually,39.82,5.18,45.0,debit card,USD
2023-08-09 20:52:43,keep,28.18,2.73,278.19,UPI,USD
2023-08-28 20:27:14,than,51.3,3.52,383.74,cash,INR
2023-09-29 12:02:46,network,37.84,2.34,401.8,cash,INR
2024-03-28 07:01:01,improve,44.21,6.11,352.24,debit card,USD
2024-01-06 15:34:17,action,7.32,0.78,24.3,credit card,INR
2023-06-07 20:25:07,figure,21.36,1.84,92.8,cash,USD
2023-10-12 21:56:37,and,21.83,2.39,217.98,debit card,USD
2023-09-10 04:13:46,apply,22.41,2.92,177.31,credit card,USD
2023-10-08 15:49:56,everybody,36.48,3.93,80.82,credit card,USD
2024-04-26 07:18:51,soldier,2.31,0.23,15.24,credit card,INR
2024-02-06 02:55:57,much,61.66,6.65,273.24,cash,INR
